study_code,group,platform,start_ms,end_ms,raw_duration_ms,prompt_excluded_duration_ms,mean_dwell_ms,swipe_count,risk_score,risk_level,sentiment_reliability,nsd_percent,oov_ratio
P-43X,INTERVENTION,FACEBOOK,1778371224000,1778371662523,438523,438523,17270,24,6.8,SAFE,RELIABLE,33.1987534022006,0.179327137170902
P-35X,INTERVENTION,TIKTOK,1778371235000,1778372244992,1009992,1009992,21591,47,30.21,SAFE,RELIABLE,18.5300673717719,0.220155099527306
P-22Y,CONTROL,INSTAGRAM,1778371912000,1778373493942,1581942,1581942,10043,161,53.43,WARNING,SENTIMENT_UNRELIABLE,,0.605221120358465
P-21X,INTERVENTION,FACEBOOK,1778371982000,1778372896885,914885,837174,17342,56,33.36,WARNING,RELIABLE,38.9992510687649,0.115139287493109
P-01X,INTERVENTION,FACEBOOK,1778372324000,1778375396321,3072321,2983120,2728,1129,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.956244278702424
P-19X,INTERVENTION,TIKTOK,1778372460000,1778373075749,615749,583061,6187,101,46.4,WARNING,RELIABLE,35.411166532476,0.385687241198079
P-15X,INTERVENTION,FACEBOOK,1778372938000,1778373813930,875930,849298,6963,124,69.94,CRITICAL,RELIABLE,52.07887450009,0.041310916073553
P-14Y,CONTROL,INSTAGRAM,1778373095000,1778374092678,997678,997678,7856,124,65.31,WARNING,SENTIMENT_UNRELIABLE,,0.676942914212399
P-11X,INTERVENTION,TIKTOK,1778373278000,1778375552902,2274902,2113982,7263,312,84.4,CRITICAL,SENTIMENT_UNRELIABLE,,0.632112577217084
P-05X,INTERVENTION,INSTAGRAM,1778374125000,1778375611164,1486164,1343818,3350,443,99.0,CRITICAL,RELIABLE,88.8340704817548,0.191446630078677
P-23X,INTERVENTION,FACEBOOK,1778374147000,1778375321995,1174995,1103892,8846,136,48.36,WARNING,RELIABLE,32.5179613662542,0.236463189432555
P-19X,INTERVENTION,TIKTOK,1778374257000,1778374685224,428224,359055,8453,49,45.84,WARNING,RELIABLE,55.1879744356074,0.3551235560009
P-46Y,CONTROL,FACEBOOK,1778375071000,1778375710133,639133,639133,13736,50,0.67,SAFE,RELIABLE,10.7081056368472,0.263419279743815
P-04Y,CONTROL,INSTAGRAM,1778375829000,1778377664762,1835762,1835762,2752,669,94.68,CRITICAL,SENTIMENT_UNRELIABLE,,0.608553707260263
P-16Y,CONTROL,TIKTOK,1778376553000,1778378449053,1896053,1896053,6806,276,94.07,CRITICAL,RELIABLE,81.7206236690486,0.199430553179937
P-10Y,CONTROL,INSTAGRAM,1778376755000,1778378189086,1434086,1434086,5591,262,75.7,CRITICAL,SENTIMENT_UNRELIABLE,,0.720376970999142
P-24Y,CONTROL,TIKTOK,1778377300000,1778377997475,697475,697475,17685,38,22.8,SAFE,RELIABLE,15.569324595474,0.384288139606192
P-28Y,CONTROL,TIKTOK,1778377697000,1778378187023,490023,490023,13106,41,39.26,WARNING,RELIABLE,59.1745993797412,0.249946346588851
P-35X,INTERVENTION,TIKTOK,1778377715000,1778378188852,473852,473852,19818,23,20.36,SAFE,RELIABLE,30.2781661743897,0.212374852546653
P-05X,INTERVENTION,TIKTOK,1778377791000,1778380187715,2396715,2302331,6330,379,99.0,CRITICAL,RELIABLE,96.4323160833523,0.092921540100914
P-23X,INTERVENTION,FACEBOOK,1778378313000,1778378934606,621606,551789,14058,43,37.2,WARNING,RELIABLE,52.5351461680616,0.056106062291626
P-49X,INTERVENTION,TIKTOK,1778378434000,1778379053567,619567,619567,16678,38,0.0,SAFE,RELIABLE,4.7720065184893,0.116046732469985
P-18Y,CONTROL,INSTAGRAM,1778379905000,1778381349450,1444450,1444450,10854,137,56.08,WARNING,RELIABLE,56.5538068450786,0.255248545786234
P-27X,INTERVENTION,FACEBOOK,1778380350000,1778380797300,447300,447300,14761,29,31.2,SAFE,RELIABLE,45.5619653865195,0.412106458498604
P-04Y,CONTROL,INSTAGRAM,1778380358000,1778382647290,2289290,2289290,2084,1102,99.0,CRITICAL,RELIABLE,91.8307277746369,0.097893360571353
P-20Y,CONTROL,FACEBOOK,1778380474000,1778381096879,622879,622879,11058,56,33.37,WARNING,RELIABLE,22.9308390368317,0.067329190277299
P-13X,INTERVENTION,INSTAGRAM,1778380884000,1778382819830,1935830,1814213,2687,721,88.21,CRITICAL,SENTIMENT_UNRELIABLE,,0.554878806819431
P-14Y,CONTROL,TIKTOK,1778381033000,1778382429525,1396525,1396525,6735,209,83.09,CRITICAL,RELIABLE,68.9454908412938,0.368399075900448
P-02Y,CONTROL,FACEBOOK,1778381255000,1778382734916,1479916,1479916,4943,301,99.0,CRITICAL,RELIABLE,88.8489589984307,0.219899797406456
P-50Y,CONTROL,FACEBOOK,1778381299000,1778381585206,286206,286206,25831,15,0.0,SAFE,RELIABLE,7.1120108553715,0.283296677269431
P-12Y,CONTROL,INSTAGRAM,1778381421000,1778383150310,1729310,1729310,8571,201,86.85,CRITICAL,RELIABLE,76.8242550404758,0.131264967997036
P-19X,INTERVENTION,INSTAGRAM,1778381434000,1778382254171,820171,802755,17678,43,37.31,WARNING,RELIABLE,55.5103315084012,0.323848534783112
P-16Y,CONTROL,TIKTOK,1778381531000,1778382793900,1262900,1262900,3358,381,92.8,CRITICAL,RELIABLE,85.3876938451183,0.335226759440119
P-26Y,CONTROL,TIKTOK,1778381531000,1778382272070,741070,741070,16910,49,35.74,WARNING,RELIABLE,54.1010664630815,0.4095740434492
P-13X,INTERVENTION,FACEBOOK,1778382804000,1778383675680,871680,701836,3833,224,74.76,CRITICAL,RELIABLE,49.0044198030048,0.323046106705179
P-11X,INTERVENTION,INSTAGRAM,1778383076000,1778385695016,2619016,2450768,3501,754,99.0,CRITICAL,RELIABLE,60.4634821594077,0.212953866988224
P-39X,INTERVENTION,TIKTOK,1778383339000,1778383404342,65342,65342,35405,0,0.0,SAFE,RELIABLE,6.8158315984474,0.233823203932828
P-26Y,CONTROL,TIKTOK,1778384218000,1778385521027,1303027,1303027,9545,139,56.89,WARNING,RELIABLE,57.6648006693859,0.333064083275631
P-07X,INTERVENTION,TIKTOK,1778384327000,1778387181706,2854706,2688696,2189,1304,99.0,CRITICAL,RELIABLE,82.3167821403992,0.383145142670108
P-17X,INTERVENTION,FACEBOOK,1778384714000,1778385206725,492725,464154,9510,52,40.88,WARNING,RELIABLE,43.0387562801683,0.097399436642174
P-02Y,CONTROL,INSTAGRAM,1778385318000,1778388017077,2699077,2699077,2012,1343,99.0,CRITICAL,RELIABLE,66.3833824508637,0.268949041694426
P-04Y,CONTROL,TIKTOK,1778385730000,1778389001975,3271975,3271975,4174,783,99.0,CRITICAL,RELIABLE,77.5768307075126,0.126408003376015
P-43X,INTERVENTION,FACEBOOK,1778385986000,1778386326677,340677,340677,32909,14,6.79,SAFE,SENTIMENT_UNRELIABLE,,0.912195386955717
P-01X,INTERVENTION,TIKTOK,1778386140000,1778389067458,2927458,2778758,3937,747,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.779214746441249
P-49X,INTERVENTION,INSTAGRAM,1778386539000,1778386768757,229757,229757,18335,17,0.0,SAFE,RELIABLE,10.6801939132806,0.388258409332137
P-21X,INTERVENTION,TIKTOK,1778387443000,1778388075749,632749,630382,11243,57,39.1,WARNING,RELIABLE,41.4847144223622,0.210401576445012
P-23X,INTERVENTION,INSTAGRAM,1778388216000,1778389292919,1076919,999982,17036,64,38.67,WARNING,RELIABLE,48.483163116669,0.068655060934906
P-16Y,CONTROL,FACEBOOK,1778388622000,1778390984358,2362358,2362358,3744,627,99.0,CRITICAL,RELIABLE,73.3011332024367,0.231349575096227
P-11X,INTERVENTION,FACEBOOK,1778389009000,1778390721819,1712819,1559401,4921,354,92.29,CRITICAL,RELIABLE,73.1428923116194,0.209874624693035
P-48Y,CONTROL,FACEBOOK,1778389133000,1778389583795,450795,450795,17736,29,0.0,SAFE,RELIABLE,20.4239908083478,0.152790171781233
P-27X,INTERVENTION,INSTAGRAM,1778389270000,1778389651325,381325,381325,17412,27,21.86,SAFE,RELIABLE,26.5383600957483,0.358887153681815
P-04Y,CONTROL,TIKTOK,1778389729000,1778391189737,1460737,1460737,2312,637,90.22,CRITICAL,SENTIMENT_UNRELIABLE,,0.982701201963306
P-37X,INTERVENTION,FACEBOOK,1778390201000,1778390614580,413580,413580,25554,19,0.22,SAFE,RELIABLE,13.7371857831918,0.065899455237824
P-15X,INTERVENTION,TIKTOK,1778390252000,1778392722742,2470742,2295381,8333,298,99.0,CRITICAL,RELIABLE,87.8410713635492,0.240212397597323
P-06Y,CONTROL,TIKTOK,1778390687000,1778392568931,1881931,1881931,4030,469,99.0,CRITICAL,RELIABLE,88.862044378254,0.281992831043775
P-11X,INTERVENTION,INSTAGRAM,1778390770000,1778392015758,1245758,1199458,8923,143,76.79,CRITICAL,RELIABLE,68.700369901079,0.08528114021447
P-05X,INTERVENTION,INSTAGRAM,1778390901000,1778394531146,3630146,3476275,5833,624,99.0,CRITICAL,RELIABLE,66.3800516767716,0.084326021865267
P-22Y,CONTROL,FACEBOOK,1778391011000,1778391581504,570504,570504,10611,53,38.27,WARNING,RELIABLE,37.927854278303,0.147398490623947
P-04Y,CONTROL,TIKTOK,1778391490000,1778393325746,1835746,1835746,2958,623,94.29,CRITICAL,SENTIMENT_UNRELIABLE,,0.900695881001277
P-28Y,CONTROL,TIKTOK,1778391554000,1778393055555,1501555,1501555,9320,162,48.37,WARNING,RELIABLE,20.9598453231568,0.07290908930115
P-45X,INTERVENTION,FACEBOOK,1778392660000,1778392926684,266684,266684,17669,17,0.0,SAFE,RELIABLE,7.3309686742123,0.36039652943021
P-03X,INTERVENTION,TIKTOK,1778393535000,1778397797978,4262978,4188258,4741,899,99.0,CRITICAL,RELIABLE,91.5308516992167,0.419440845625413
P-06Y,CONTROL,TIKTOK,1778393545000,1778396467917,2922917,2922917,2204,1327,99.0,CRITICAL,RELIABLE,79.5065850820496,0.268070755108019
P-09X,INTERVENTION,TIKTOK,1778394384000,1778396151423,1767423,1733805,4352,412,85.24,CRITICAL,RELIABLE,45.3804809089367,0.265065593046857
P-20Y,CONTROL,INSTAGRAM,1778394731000,1778395587956,856956,856956,12770,65,36.97,WARNING,RELIABLE,33.917304573209,0.313312874276718
P-13X,INTERVENTION,INSTAGRAM,1778395670000,1778398047421,2377421,2335529,6345,375,93.01,CRITICAL,RELIABLE,54.5355411031117,0.193874132493971
P-06Y,CONTROL,TIKTOK,1778396009000,1778399580943,3571943,3571943,2142,1671,99.0,CRITICAL,RELIABLE,60.2836028937085,0.173921551821204
P-05X,INTERVENTION,FACEBOOK,1778396030000,1778397974295,1944295,1766893,5144,381,98.81,CRITICAL,RELIABLE,59.6644209649354,0.310742550553538
P-15X,INTERVENTION,INSTAGRAM,1778396236000,1778397978500,1742500,1667962,4546,389,91.93,CRITICAL,RELIABLE,68.52564992529,0.30560130332224
P-07X,INTERVENTION,INSTAGRAM,1778397237000,1778399660461,2423461,2262826,3252,745,99.0,CRITICAL,RELIABLE,59.9152938090858,0.378097566117809
P-18Y,CONTROL,INSTAGRAM,1778397952000,1778398543517,591517,591517,14644,38,35.64,WARNING,RELIABLE,52.4191331970403,0.189333673251495
P-05X,INTERVENTION,TIKTOK,1778398312000,1778399954062,1642062,1524307,2393,690,99.0,CRITICAL,RELIABLE,58.8156400155784,0.113775167254345
P-26Y,CONTROL,FACEBOOK,1778398334000,1778399746029,1412029,1412029,15081,90,41.6,WARNING,SENTIMENT_UNRELIABLE,,0.842068579564184
P-02Y,CONTROL,INSTAGRAM,1778398445000,1778400735479,2290479,2290479,6170,369,99.0,CRITICAL,RELIABLE,69.1186618347063,0.208853942862918
P-03X,INTERVENTION,INSTAGRAM,1778399059000,1778402702181,3643181,3602462,4451,815,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.91043769581268
P-24Y,CONTROL,INSTAGRAM,1778399136000,1778399845224,709224,709224,12726,56,40.75,WARNING,RELIABLE,51.9609432238567,0.277314920099774
P-13X,INTERVENTION,INSTAGRAM,1778399571000,1778401900720,2329720,2209830,6944,339,85.77,CRITICAL,SENTIMENT_UNRELIABLE,,0.679598058093086
P-07X,INTERVENTION,FACEBOOK,1778399575000,1778402076938,2501938,2472574,2463,1016,99.0,CRITICAL,RELIABLE,90.4618561068116,0.354409615141283
P-33X,INTERVENTION,TIKTOK,1778399945000,1778400357510,412510,412510,17925,20,17.67,SAFE,RELIABLE,24.5785073161012,0.362348333798156
P-23X,INTERVENTION,TIKTOK,1778400079000,1778401406003,1327003,1278550,15338,85,44.11,WARNING,RELIABLE,50.6103605347022,0.299223261281356
P-05X,INTERVENTION,TIKTOK,1778400236000,1778401782677,1546677,1433962,5842,268,91.8,CRITICAL,RELIABLE,59.3198818631487,0.156918076469912
P-08Y,CONTROL,FACEBOOK,1778400878000,1778404849018,3971018,3971018,3787,1054,99.0,CRITICAL,RELIABLE,75.1965797602748,0.19879039848502
P-01X,INTERVENTION,TIKTOK,1778401767000,1778403373905,1606905,1485521,2597,615,99.0,CRITICAL,RELIABLE,64.6506714043555,0.062431948650652
P-33X,INTERVENTION,INSTAGRAM,1778402832000,1778403743461,911461,888564,8270,111,41.52,WARNING,RELIABLE,31.8574856348731,0.123887736564258
P-19X,INTERVENTION,TIKTOK,1778402944000,1778403515537,571537,571537,14075,40,30.61,SAFE,RELIABLE,34.2551700814175,0.37165280744576
P-29X,INTERVENTION,INSTAGRAM,1778402963000,1778403281671,318671,318671,12670,24,23.02,SAFE,RELIABLE,25.9011337457493,0.362054142740238
P-06Y,CONTROL,INSTAGRAM,1778403627000,1778405054914,1427914,1427914,4628,306,99.0,CRITICAL,RELIABLE,90.4805678436848,0.27528696380047
P-49X,INTERVENTION,FACEBOOK,1778404470000,1778404751653,281653,281653,16317,22,0.0,SAFE,RELIABLE,17.0730034529857,0.335958610243807
P-06Y,CONTROL,TIKTOK,1778405322000,1778409193647,3871647,3871647,2771,1397,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.923885110109301
P-13X,INTERVENTION,INSTAGRAM,1778405394000,1778406421969,1027969,977274,8641,118,72.39,CRITICAL,RELIABLE,62.8762506708271,0.225990082369752
P-35X,INTERVENTION,INSTAGRAM,1778405668000,1778406866302,1198302,1198302,17881,64,32.86,SAFE,SENTIMENT_UNRELIABLE,,0.664949816662575
P-01X,INTERVENTION,INSTAGRAM,1778405858000,1778408325438,2467438,2378469,5213,474,99.0,CRITICAL,RELIABLE,66.2869674385104,0.114360930640851
P-16Y,CONTROL,TIKTOK,1778406718000,1778408164745,1446745,1446745,3678,397,90.28,CRITICAL,RELIABLE,71.3102181944737,0.375399591798235
P-22Y,CONTROL,TIKTOK,1778406899000,1778407311627,412627,412627,16438,22,19.38,SAFE,RELIABLE,17.4094728072101,0.149384925436335
P-12Y,CONTROL,INSTAGRAM,1778407416000,1778408672483,1256483,1256483,6165,206,83.89,CRITICAL,RELIABLE,74.2637403240984,0.146156150722186
P-08Y,CONTROL,FACEBOOK,1778408130000,1778409969048,1839048,1839048,3138,588,99.0,CRITICAL,RELIABLE,78.3070828231064,0.140089763039709
P-03X,INTERVENTION,INSTAGRAM,1778408457000,1778411272449,2815449,2759222,1824,1549,99.0,CRITICAL,RELIABLE,57.2578543180882,0.061918043021129
P-04Y,CONTROL,FACEBOOK,1778409302000,1778412285277,2983277,2983277,4064,734,99.0,CRITICAL,RELIABLE,68.6456686718725,0.113949799950309
P-12Y,CONTROL,FACEBOOK,1778409419000,1778410514985,1095985,1095985,5713,194,81.03,CRITICAL,RELIABLE,69.7360887218966,0.306486267052529
P-25X,INTERVENTION,INSTAGRAM,1778410104000,1778410972373,868373,850442,14129,65,33.49,WARNING,RELIABLE,30.5086752646196,0.264427080922998
P-02Y,CONTROL,FACEBOOK,1778410605000,1778413590007,2985007,2985007,6935,429,99.0,CRITICAL,RELIABLE,96.4121193218632,0.210504095974761
P-14Y,CONTROL,INSTAGRAM,1778411026000,1778412380643,1354643,1354643,4976,269,90.93,CRITICAL,RELIABLE,84.9733576007821,0.182760750604256
P-05X,INTERVENTION,TIKTOK,1778411560000,1778413743132,2183132,2011534,2992,730,99.0,CRITICAL,RELIABLE,69.4690815520175,0.238778382252407
P-12Y,CONTROL,TIKTOK,1778412237000,1778413693736,1456736,1456736,3706,394,94.74,CRITICAL,RELIABLE,84.950589829259,0.253225623552252
P-01X,INTERVENTION,FACEBOOK,1778412276000,1778414385195,2109195,2028288,3974,529,99.0,CRITICAL,RELIABLE,90.0416197213748,0.226842786653731
P-14Y,CONTROL,TIKTOK,1778412545000,1778414163177,1618177,1618177,3766,429,95.31,CRITICAL,RELIABLE,79.9773385808454,0.174838356827424
P-26Y,CONTROL,FACEBOOK,1778413169000,1778414026321,857321,857321,7069,125,48.81,WARNING,SENTIMENT_UNRELIABLE,,0.702858514243672
P-10Y,CONTROL,TIKTOK,1778413202000,1778415171603,1969603,1969603,6045,331,86.57,CRITICAL,RELIABLE,50.5696248348514,0.040895425793048
P-08Y,CONTROL,TIKTOK,1778413713000,1778417383613,3670613,3670613,3431,1073,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.527935607786627
P-27X,INTERVENTION,INSTAGRAM,1778413837000,1778415053560,1216560,1204575,6981,171,51.63,WARNING,RELIABLE,29.9789642848404,0.239022720109147
P-02Y,CONTROL,TIKTOK,1778413859000,1778415889971,2030971,2030971,4462,458,94.22,CRITICAL,SENTIMENT_UNRELIABLE,,0.666762551205756
P-12Y,CONTROL,TIKTOK,1778416609000,1778417966209,1357209,1357209,8905,150,80.73,CRITICAL,RELIABLE,76.0109221737447,0.094352197224767
P-01X,INTERVENTION,FACEBOOK,1778417113000,1778419031306,1918306,1808810,5418,359,99.0,CRITICAL,RELIABLE,64.5983160800337,0.165206656822364
P-29X,INTERVENTION,INSTAGRAM,1778417540000,1778418023891,483891,483891,18749,22,22.81,SAFE,SENTIMENT_UNRELIABLE,,0.73634184952949
P-40Y,CONTROL,FACEBOOK,1778417662000,1778417790043,128043,128043,32937,5,0.0,SAFE,RELIABLE,5.5731656128114,0.294985390379322
P-08Y,CONTROL,TIKTOK,1778417953000,1778420882840,2929840,2929840,3935,743,99.0,CRITICAL,RELIABLE,90.3956985682417,0.238102660787728
P-09X,INTERVENTION,FACEBOOK,1778418137000,1778419226669,1089669,997796,2504,435,80.65,CRITICAL,RELIABLE,50.0406669317867,0.056642960253339
P-25X,INTERVENTION,FACEBOOK,1778418338000,1778419584374,1246374,1183499,13920,86,36.98,WARNING,RELIABLE,23.5619394312669,0.302402397544688
P-11X,INTERVENTION,TIKTOK,1778418340000,1778420900117,2560117,2448174,3249,785,95.94,CRITICAL,SENTIMENT_UNRELIABLE,,0.727398102284924
P-39X,INTERVENTION,INSTAGRAM,1778418744000,1778418895092,151092,151092,22490,8,0.0,SAFE,RELIABLE,21.3146006014235,0.10545603799297
P-17X,INTERVENTION,FACEBOOK,1778418803000,1778419371274,568274,507117,8291,72,45.46,WARNING,RELIABLE,46.8933308970922,0.086128762319729
P-10Y,CONTROL,TIKTOK,1778419514000,1778420668127,1154127,1154127,3786,304,79.47,CRITICAL,RELIABLE,51.027791303879,0.280521149262189
P-29X,INTERVENTION,TIKTOK,1778419576000,1778419936706,360706,277253,8553,40,39.87,WARNING,RELIABLE,52.5803903535244,0.313849554719728
P-07X,INTERVENTION,INSTAGRAM,1778419764000,1778422354211,2590211,2450959,2084,1239,99.0,CRITICAL,RELIABLE,77.1680925806354,0.086176747824451
P-08Y,CONTROL,TIKTOK,1778419883000,1778422278416,2395416,2395416,4091,583,99.0,CRITICAL,RELIABLE,68.1257038974908,0.278374518420446
P-17X,INTERVENTION,INSTAGRAM,1778420975000,1778421812803,837803,802094,12439,69,37.39,WARNING,RELIABLE,34.1324729581843,0.2294458848851
P-38Y,CONTROL,TIKTOK,1778421232000,1778421693682,461682,461682,14437,34,5.37,SAFE,RELIABLE,18.5780244966403,0.390538377224881
P-06Y,CONTROL,TIKTOK,1778421669000,1778425742267,4073267,4073267,6031,677,99.0,CRITICAL,RELIABLE,93.4917505387586,0.253603040631903
P-07X,INTERVENTION,TIKTOK,1778421943000,1778423862182,1919182,1867751,2882,666,99.0,CRITICAL,RELIABLE,75.0996174409886,0.07306523789192
P-25X,INTERVENTION,TIKTOK,1778422187000,1778423742981,1555981,1542415,12387,122,46.88,WARNING,RELIABLE,31.8820069926187,0.210142768526789
P-08Y,CONTROL,INSTAGRAM,1778422434000,1778424089854,1655854,1655854,5054,326,96.83,CRITICAL,RELIABLE,65.6286388631752,0.40155543443512
P-03X,INTERVENTION,INSTAGRAM,1778422541000,1778423936677,1395677,1258153,6224,226,90.97,CRITICAL,RELIABLE,65.6316654187929,0.392827607525335
P-28Y,CONTROL,TIKTOK,1778422638000,1778423942562,1304562,1304562,6324,204,57.39,WARNING,RELIABLE,40.2647554224862,0.264201300702788
P-06Y,CONTROL,TIKTOK,1778422754000,1778424877518,2123518,2123518,3718,573,99.0,CRITICAL,RELIABLE,90.1521804970736,0.345972959556647
P-12Y,CONTROL,INSTAGRAM,1778423051000,1778424254367,1203367,1203367,5434,225,72.75,CRITICAL,SENTIMENT_UNRELIABLE,,0.491998333840377
P-04Y,CONTROL,TIKTOK,1778423457000,1778426008646,2551646,2551646,6550,393,99.0,CRITICAL,RELIABLE,81.6766088991544,0.16366286532287
P-09X,INTERVENTION,INSTAGRAM,1778424339000,1778425252680,913680,775038,2664,344,86.61,CRITICAL,RELIABLE,77.3220677650678,0.322766121980649
P-20Y,CONTROL,TIKTOK,1778424387000,1778424958289,571289,571289,6380,91,47.38,WARNING,RELIABLE,41.5668779191778,0.328692735783038
P-38Y,CONTROL,FACEBOOK,1778424648000,1778424807765,159765,159765,30755,11,3.36,SAFE,RELIABLE,34.7348438234832,0.25036551902816
P-12Y,CONTROL,FACEBOOK,1778454490000,1778456441847,1951847,1951847,7109,279,88.28,CRITICAL,RELIABLE,62.9381245869205,0.287660397853499
P-02Y,CONTROL,FACEBOOK,1778455810000,1778458289285,2479285,2479285,3523,707,99.0,CRITICAL,RELIABLE,98.2796872748638,0.329875367379826
P-14Y,CONTROL,INSTAGRAM,1778456249000,1778457487556,1238556,1238556,3868,321,92.79,CRITICAL,RELIABLE,89.4067450422215,0.161192572260228
P-25X,INTERVENTION,INSTAGRAM,1778456706000,1778457249547,543547,543547,14413,34,30.63,SAFE,SENTIMENT_UNRELIABLE,,0.867775394934654
P-38Y,CONTROL,FACEBOOK,1778456905000,1778457561360,656360,656360,33326,25,4.91,SAFE,RELIABLE,17.7130617317216,0.256923677478759
P-19X,INTERVENTION,TIKTOK,1778457890000,1778458985203,1095203,1057100,9886,109,46.88,WARNING,SENTIMENT_UNRELIABLE,,0.6621648336952
P-20Y,CONTROL,TIKTOK,1778458184000,1778459124974,940974,940974,13657,71,30.98,SAFE,RELIABLE,16.7071898330678,0.134236478115004
P-48Y,CONTROL,TIKTOK,1778458361000,1778458575356,214356,214356,28167,7,0.0,SAFE,RELIABLE,11.6117318562301,0.163917454861723
P-50Y,CONTROL,INSTAGRAM,1778458493000,1778458845891,352891,352891,22838,17,0.0,SAFE,RELIABLE,17.3421626197309,0.284200268965464
P-02Y,CONTROL,INSTAGRAM,1778458754000,1778461651618,2897618,2897618,5547,522,99.0,CRITICAL,RELIABLE,58.2233949456567,0.086092317107361
P-14Y,CONTROL,TIKTOK,1778458789000,1778460278743,1489743,1489743,4879,309,87.13,CRITICAL,RELIABLE,66.5935251206451,0.359774529091167
P-03X,INTERVENTION,FACEBOOK,1778458938000,1778460834366,1896366,1856290,5646,336,98.7,CRITICAL,RELIABLE,64.3783572781846,0.313219147398678
P-04Y,CONTROL,TIKTOK,1778458997000,1778462015875,3018875,3018875,5616,540,99.0,CRITICAL,RELIABLE,87.3023705522889,0.174681260496751
P-22Y,CONTROL,TIKTOK,1778459226000,1778460138435,912435,912435,9877,95,44.32,WARNING,SENTIMENT_UNRELIABLE,,0.70110269240411
P-41X,INTERVENTION,INSTAGRAM,1778459846000,1778460238745,392745,392745,26087,14,0.0,SAFE,RELIABLE,4.4408007505298,0.109545757070284
P-38Y,CONTROL,INSTAGRAM,1778459854000,1778460412486,558486,558486,20136,28,0.91,SAFE,RELIABLE,9.5261927600349,0.052800513056915
P-43X,INTERVENTION,TIKTOK,1778459864000,1778460118825,254825,254825,13195,19,2.87,SAFE,RELIABLE,12.5680634042373,0.274271256523138
P-35X,INTERVENTION,FACEBOOK,1778459869000,1778460326165,457165,457165,23078,24,23.81,SAFE,RELIABLE,41.7876961595737,0.319970495685776
P-31X,INTERVENTION,FACEBOOK,1778459873000,1778460295376,422376,422376,14906,29,23.45,SAFE,RELIABLE,35.8032963919737,0.272812332704339
P-08Y,CONTROL,FACEBOOK,1778459937000,1778461124533,1187533,1187533,6067,198,93.72,CRITICAL,RELIABLE,82.4360049462698,0.363247155247857
