study_code,timestamp_ms,platform,event_type,details_code,affected_session_id
P-38Y,1778371208000,,SERVICE_STARTED,service_connected,
P-29X,1778371208300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-38Y,1778371210300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-44Y,1778371214000,,SERVICE_STARTED,service_connected,
P-44Y,1778371216300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-43X,1778371222000,,SERVICE_STARTED,service_connected,
P-43X,1778371224300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-35X,1778371233000,,SERVICE_STARTED,service_connected,
P-35X,1778371235300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-44Y,1778371364594,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-44Y,1778371394590,FACEBOOK,SESSION_FINALIZED,session_saved,17
P-47X,1778371405964,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-47X,1778371435960,TIKTOK,SESSION_FINALIZED,session_saved,12
P-38Y,1778371456634,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-38Y,1778371486630,FACEBOOK,SESSION_FINALIZED,session_saved,16
P-05X,1778371548306,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-41X,1778371563023,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-22Y,1778371566885,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-13X,1778371567963,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-05X,1778371578284,TIKTOK,HIGH_OOV,sentiment_unreliable,10
P-05X,1778371578302,TIKTOK,SESSION_FINALIZED,session_saved,10
P-41X,1778371593019,FACEBOOK,SESSION_FINALIZED,session_saved,14
P-22Y,1778371596881,TIKTOK,SESSION_FINALIZED,session_saved,11
P-13X,1778371597941,FACEBOOK,HIGH_OOV,sentiment_unreliable,9
P-13X,1778371597959,FACEBOOK,SESSION_FINALIZED,session_saved,9
P-29X,1778371643657,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-43X,1778371662527,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-29X,1778371673653,INSTAGRAM,SESSION_FINALIZED,session_saved,15
P-43X,1778371692523,FACEBOOK,SESSION_FINALIZED,session_saved,18
P-31X,1778371703199,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-31X,1778371733195,FACEBOOK,SESSION_FINALIZED,session_saved,13
P-22Y,1778371910000,,SERVICE_STARTED,service_connected,
P-22Y,1778371912300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-21X,1778371980000,,SERVICE_STARTED,service_connected,
P-21X,1778371982300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-35X,1778372244996,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-35X,1778372274992,TIKTOK,SESSION_FINALIZED,session_saved,19
P-01X,1778372322000,,SERVICE_STARTED,service_connected,
P-01X,1778372324300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-19X,1778372458000,,SERVICE_STARTED,service_connected,
P-19X,1778372460300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-21X,1778372896889,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-21X,1778372926885,FACEBOOK,SESSION_FINALIZED,session_saved,21
P-15X,1778372936000,,SERVICE_STARTED,service_connected,
P-15X,1778372938300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-19X,1778373075753,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-14Y,1778373093000,,SERVICE_STARTED,service_connected,
P-14Y,1778373095300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-19X,1778373105749,TIKTOK,SESSION_FINALIZED,session_saved,23
P-11X,1778373276000,,SERVICE_STARTED,service_connected,
P-11X,1778373278300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-22Y,1778373493946,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-22Y,1778373523924,INSTAGRAM,HIGH_OOV,sentiment_unreliable,20
P-22Y,1778373523942,INSTAGRAM,SESSION_FINALIZED,session_saved,20
P-15X,1778373813934,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-15X,1778373843930,FACEBOOK,SESSION_FINALIZED,session_saved,24
P-14Y,1778374092682,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-14Y,1778374122660,INSTAGRAM,HIGH_OOV,sentiment_unreliable,25
P-14Y,1778374122678,INSTAGRAM,SESSION_FINALIZED,session_saved,25
P-05X,1778374123000,,SERVICE_STARTED,service_connected,
P-05X,1778374125300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-23X,1778374145000,,SERVICE_STARTED,service_connected,
P-23X,1778374147300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-19X,1778374255000,,SERVICE_STARTED,service_connected,
P-19X,1778374257300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-19X,1778374685228,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-19X,1778374715224,TIKTOK,SESSION_FINALIZED,session_saved,29
P-46Y,1778375069000,,SERVICE_STARTED,service_connected,
P-46Y,1778375071300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-23X,1778375321999,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-23X,1778375351995,FACEBOOK,SESSION_FINALIZED,session_saved,28
P-01X,1778375396325,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-01X,1778375426303,FACEBOOK,HIGH_OOV,sentiment_unreliable,22
P-01X,1778375426321,FACEBOOK,SESSION_FINALIZED,session_saved,22
P-11X,1778375552906,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-11X,1778375582884,TIKTOK,HIGH_OOV,sentiment_unreliable,26
P-11X,1778375582902,TIKTOK,SESSION_FINALIZED,session_saved,26
P-05X,1778375611168,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-05X,1778375641164,INSTAGRAM,SESSION_FINALIZED,session_saved,27
P-46Y,1778375710137,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-46Y,1778375740133,FACEBOOK,SESSION_FINALIZED,session_saved,30
P-04Y,1778375827000,,SERVICE_STARTED,service_connected,
P-04Y,1778375829300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-16Y,1778376551000,,SERVICE_STARTED,service_connected,
P-16Y,1778376553300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-10Y,1778376753000,,SERVICE_STARTED,service_connected,
P-10Y,1778376755300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-24Y,1778377298000,,SERVICE_STARTED,service_connected,
P-24Y,1778377300300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-04Y,1778377664766,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-04Y,1778377694744,INSTAGRAM,HIGH_OOV,sentiment_unreliable,31
P-04Y,1778377694762,INSTAGRAM,SESSION_FINALIZED,session_saved,31
P-28Y,1778377695000,,SERVICE_STARTED,service_connected,
P-28Y,1778377697300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-35X,1778377713000,,SERVICE_STARTED,service_connected,
P-35X,1778377715300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-05X,1778377789000,,SERVICE_STARTED,service_connected,
P-05X,1778377791300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-24Y,1778377997479,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-24Y,1778378027475,TIKTOK,SESSION_FINALIZED,session_saved,34
P-28Y,1778378187027,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-35X,1778378188856,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-10Y,1778378189090,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-28Y,1778378217023,TIKTOK,SESSION_FINALIZED,session_saved,35
P-35X,1778378218852,TIKTOK,SESSION_FINALIZED,session_saved,36
P-10Y,1778378219068,INSTAGRAM,HIGH_OOV,sentiment_unreliable,33
P-10Y,1778378219086,INSTAGRAM,SESSION_FINALIZED,session_saved,33
P-23X,1778378311000,,SERVICE_STARTED,service_connected,
P-23X,1778378313300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-49X,1778378432000,,SERVICE_STARTED,service_connected,
P-49X,1778378434300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-16Y,1778378449057,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-16Y,1778378479053,TIKTOK,SESSION_FINALIZED,session_saved,32
P-23X,1778378934610,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-23X,1778378964606,FACEBOOK,SESSION_FINALIZED,session_saved,38
P-49X,1778379053571,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-49X,1778379083567,TIKTOK,SESSION_FINALIZED,session_saved,39
P-18Y,1778379903000,,SERVICE_STARTED,service_connected,
P-18Y,1778379905300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-05X,1778380187719,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-05X,1778380217715,TIKTOK,SESSION_FINALIZED,session_saved,37
P-27X,1778380348000,,SERVICE_STARTED,service_connected,
P-27X,1778380350300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-04Y,1778380356000,,SERVICE_STARTED,service_connected,
P-04Y,1778380358300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-20Y,1778380472000,,SERVICE_STARTED,service_connected,
P-20Y,1778380474300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-27X,1778380797304,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-27X,1778380827300,FACEBOOK,SESSION_FINALIZED,session_saved,41
P-13X,1778380882000,,SERVICE_STARTED,service_connected,
P-13X,1778380884300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-14Y,1778381031000,,SERVICE_STARTED,service_connected,
P-14Y,1778381033300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-20Y,1778381096883,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-20Y,1778381126879,FACEBOOK,SESSION_FINALIZED,session_saved,43
P-02Y,1778381253000,,SERVICE_STARTED,service_connected,
P-02Y,1778381255300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-50Y,1778381297000,,SERVICE_STARTED,service_connected,
P-50Y,1778381299300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-18Y,1778381349454,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-18Y,1778381379450,INSTAGRAM,SESSION_FINALIZED,session_saved,40
P-12Y,1778381419000,,SERVICE_STARTED,service_connected,
P-12Y,1778381421300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-19X,1778381432000,,SERVICE_STARTED,service_connected,
P-19X,1778381434300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-16Y,1778381529000,,SERVICE_STARTED,service_connected,
P-26Y,1778381529000,,SERVICE_STARTED,service_connected,
P-16Y,1778381531300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-26Y,1778381531300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-50Y,1778381585210,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-50Y,1778381615206,FACEBOOK,SESSION_FINALIZED,session_saved,47
P-19X,1778382254175,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-26Y,1778382272074,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-19X,1778382284171,INSTAGRAM,SESSION_FINALIZED,session_saved,49
P-26Y,1778382302070,TIKTOK,SESSION_FINALIZED,session_saved,51
P-14Y,1778382429529,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-14Y,1778382459525,TIKTOK,SESSION_FINALIZED,session_saved,45
P-04Y,1778382647294,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-04Y,1778382677290,INSTAGRAM,SESSION_FINALIZED,session_saved,42
P-02Y,1778382734920,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-02Y,1778382764916,FACEBOOK,SESSION_FINALIZED,session_saved,46
P-16Y,1778382793904,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-13X,1778382802000,,SERVICE_STARTED,service_connected,
P-13X,1778382804300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-13X,1778382819834,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-16Y,1778382823900,TIKTOK,SESSION_FINALIZED,session_saved,50
P-13X,1778382849812,INSTAGRAM,HIGH_OOV,sentiment_unreliable,44
P-13X,1778382849830,INSTAGRAM,SESSION_FINALIZED,session_saved,44
P-11X,1778383074000,,SERVICE_STARTED,service_connected,
P-11X,1778383076300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-12Y,1778383150314,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-12Y,1778383180310,INSTAGRAM,SESSION_FINALIZED,session_saved,48
P-39X,1778383337000,,SERVICE_STARTED,service_connected,
P-39X,1778383339300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-39X,1778383404346,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-39X,1778383434342,TIKTOK,SESSION_FINALIZED,session_saved,54
P-13X,1778383675684,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-13X,1778383705680,FACEBOOK,SESSION_FINALIZED,session_saved,52
P-26Y,1778384216000,,SERVICE_STARTED,service_connected,
P-26Y,1778384218300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-07X,1778384325000,,SERVICE_STARTED,service_connected,
P-07X,1778384327300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-17X,1778384712000,,SERVICE_STARTED,service_connected,
P-17X,1778384714300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-17X,1778385206729,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-17X,1778385236725,FACEBOOK,SESSION_FINALIZED,session_saved,57
P-02Y,1778385316000,,SERVICE_STARTED,service_connected,
P-02Y,1778385318300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-26Y,1778385521031,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-26Y,1778385551027,TIKTOK,SESSION_FINALIZED,session_saved,55
P-11X,1778385695020,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-11X,1778385725016,INSTAGRAM,SESSION_FINALIZED,session_saved,53
P-04Y,1778385728000,,SERVICE_STARTED,service_connected,
P-04Y,1778385730300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-43X,1778385984000,,SERVICE_STARTED,service_connected,
P-43X,1778385986300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-01X,1778386138000,,SERVICE_STARTED,service_connected,
P-01X,1778386140300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-43X,1778386326681,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-43X,1778386356659,FACEBOOK,HIGH_OOV,sentiment_unreliable,60
P-43X,1778386356677,FACEBOOK,SESSION_FINALIZED,session_saved,60
P-49X,1778386537000,,SERVICE_STARTED,service_connected,
P-49X,1778386539300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-49X,1778386768761,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-49X,1778386798757,INSTAGRAM,SESSION_FINALIZED,session_saved,62
P-07X,1778387181710,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-07X,1778387211706,TIKTOK,SESSION_FINALIZED,session_saved,56
P-21X,1778387441000,,SERVICE_STARTED,service_connected,
P-21X,1778387443300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-02Y,1778388017081,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-02Y,1778388047077,INSTAGRAM,SESSION_FINALIZED,session_saved,58
P-21X,1778388075753,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-21X,1778388105749,TIKTOK,SESSION_FINALIZED,session_saved,63
P-23X,1778388214000,,SERVICE_STARTED,service_connected,
P-23X,1778388216300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-16Y,1778388620000,,SERVICE_STARTED,service_connected,
P-16Y,1778388622300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-04Y,1778389001979,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-11X,1778389007000,,SERVICE_STARTED,service_connected,
P-11X,1778389009300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-04Y,1778389031975,TIKTOK,SESSION_FINALIZED,session_saved,59
P-01X,1778389067462,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-01X,1778389097440,TIKTOK,HIGH_OOV,sentiment_unreliable,61
P-01X,1778389097458,TIKTOK,SESSION_FINALIZED,session_saved,61
P-48Y,1778389131000,,SERVICE_STARTED,service_connected,
P-48Y,1778389133300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-27X,1778389268000,,SERVICE_STARTED,service_connected,
P-27X,1778389270300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-23X,1778389292923,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-23X,1778389322919,INSTAGRAM,SESSION_FINALIZED,session_saved,64
P-48Y,1778389583799,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-48Y,1778389613795,FACEBOOK,SESSION_FINALIZED,session_saved,67
P-27X,1778389651329,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-27X,1778389681325,INSTAGRAM,SESSION_FINALIZED,session_saved,68
P-04Y,1778389727000,,SERVICE_STARTED,service_connected,
P-04Y,1778389729300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-37X,1778390199000,,SERVICE_STARTED,service_connected,
P-37X,1778390201300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-15X,1778390250000,,SERVICE_STARTED,service_connected,
P-15X,1778390252300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-37X,1778390614584,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-37X,1778390644580,FACEBOOK,SESSION_FINALIZED,session_saved,70
P-06Y,1778390685000,,SERVICE_STARTED,service_connected,
P-06Y,1778390687300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-11X,1778390721823,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-11X,1778390751819,FACEBOOK,SESSION_FINALIZED,session_saved,66
P-11X,1778390768000,,SERVICE_STARTED,service_connected,
P-11X,1778390770300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-05X,1778390899000,,SERVICE_STARTED,service_connected,
P-05X,1778390901300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-16Y,1778390984362,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-22Y,1778391009000,,SERVICE_STARTED,service_connected,
P-22Y,1778391011300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-16Y,1778391014358,FACEBOOK,SESSION_FINALIZED,session_saved,65
P-04Y,1778391189741,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-04Y,1778391219719,TIKTOK,HIGH_OOV,sentiment_unreliable,69
P-04Y,1778391219737,TIKTOK,SESSION_FINALIZED,session_saved,69
P-04Y,1778391488000,,SERVICE_STARTED,service_connected,
P-04Y,1778391490300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-28Y,1778391552000,,SERVICE_STARTED,service_connected,
P-28Y,1778391554300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-22Y,1778391581508,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-22Y,1778391611504,FACEBOOK,SESSION_FINALIZED,session_saved,75
P-11X,1778392015762,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-11X,1778392045758,INSTAGRAM,SESSION_FINALIZED,session_saved,73
P-06Y,1778392568935,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-06Y,1778392598931,TIKTOK,SESSION_FINALIZED,session_saved,72
P-45X,1778392658000,,SERVICE_STARTED,service_connected,
P-45X,1778392660300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-15X,1778392722746,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-15X,1778392752742,TIKTOK,SESSION_FINALIZED,session_saved,71
P-45X,1778392926688,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-45X,1778392956684,FACEBOOK,SESSION_FINALIZED,session_saved,78
P-28Y,1778393055559,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-28Y,1778393085555,TIKTOK,SESSION_FINALIZED,session_saved,77
P-04Y,1778393325750,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-04Y,1778393355728,TIKTOK,HIGH_OOV,sentiment_unreliable,76
P-04Y,1778393355746,TIKTOK,SESSION_FINALIZED,session_saved,76
P-03X,1778393533000,,SERVICE_STARTED,service_connected,
P-03X,1778393535300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-06Y,1778393543000,,SERVICE_STARTED,service_connected,
P-06Y,1778393545300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-09X,1778394382000,,SERVICE_STARTED,service_connected,
P-09X,1778394384300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-05X,1778394531150,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-05X,1778394561146,INSTAGRAM,SESSION_FINALIZED,session_saved,74
P-20Y,1778394729000,,SERVICE_STARTED,service_connected,
P-20Y,1778394731300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-20Y,1778395587960,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-20Y,1778395617956,INSTAGRAM,SESSION_FINALIZED,session_saved,82
P-13X,1778395668000,,SERVICE_STARTED,service_connected,
P-13X,1778395670300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-06Y,1778396007000,,SERVICE_STARTED,service_connected,
P-06Y,1778396009300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-05X,1778396028000,,SERVICE_STARTED,service_connected,
P-05X,1778396030300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-09X,1778396151427,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-09X,1778396181423,TIKTOK,SESSION_FINALIZED,session_saved,81
P-15X,1778396234000,,SERVICE_STARTED,service_connected,
P-15X,1778396236300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-06Y,1778396467921,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-06Y,1778396497917,TIKTOK,SESSION_FINALIZED,session_saved,80
P-07X,1778397235000,,SERVICE_STARTED,service_connected,
P-07X,1778397237300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-03X,1778397797982,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-03X,1778397827978,TIKTOK,SESSION_FINALIZED,session_saved,79
P-18Y,1778397950000,,SERVICE_STARTED,service_connected,
P-18Y,1778397952300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-05X,1778397974299,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-15X,1778397978504,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-05X,1778398004295,FACEBOOK,SESSION_FINALIZED,session_saved,85
P-15X,1778398008500,INSTAGRAM,SESSION_FINALIZED,session_saved,86
P-13X,1778398047425,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-13X,1778398077421,INSTAGRAM,SESSION_FINALIZED,session_saved,83
P-05X,1778398310000,,SERVICE_STARTED,service_connected,
P-05X,1778398312300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
